City,Airport Code,Trip Distance (km),Total Distance (km)
San Luis Obispo,SBP,0,0
Los Angeles,LAX,10817,10817
Goroka,,16931.2,27748.1
Madang,MAG,5449.32,33197.5
Mount Hagen,HGU,5386.08,38583.5
Nadzab,LAE,5391.53,43975.1
Port Moresby,POM,5065.99,49041.1
Wewak,WWK,5834.82,54875.9
Port Moresby,POM,5053.72,59929.6
Tokyo,NRT,9232.63,69162.2
Copenhagen,CPH,10542.5,79704.7
Sondrestrom,SFJ,10482.3,90187
Narssarssuaq,UAK,15728.5,105915
Godthaab,GOH,15614.9,121530
Reykjavik,RKV,14831.2,136362
Akureyri,AEY,11888.9,148250
Reykjavik,RKV,11649.1,159900
Egilsstadir,EGS,11701.3,171601
Reykjavik,RKV,11272.2,182873
Isafjordur,IFJ,12146.7,195020
Reykjavik,RKV,12167.1,207187
Godthaab,GOH,13430.4,220617
Keflavik,KEF,14852.7,235470
Newark,EWR,13451.8,248922
Toronto,YTZ,15306.5,264228
Sault Sainte Marie,YAM,15545.4,279774
Toronto,YTZ,15477.3,295251
St. John's,YYT,14963.8,310215
St. Anthony,YAY,15033.7,325248
Goose Bay,YYR,15787.7,341036
Wabush,YWK,16398.7,357435
Baie Comeau,YBC,16380.8,373816
Wabush,YWK,16155.5,389971
Bagotville,YBG,16467.3,406439
Repulse Bay,YUL,16034.8,422473
Baker Lake,YBK,17785.6,440259
Rankin Inlet,YRT,16524.9,456784
Winnipeg,YWG,16782.5,473566
Vancouver,YVR,14750.2,488317
Campbell River,YBL,11789.4,500106
Comox,YQQ,11644.3,511750
Calgary,YYC,11731.1,523481
Brandon,YBR,13262.6,536744
Calgary,YYC,14473.6,551218
Yellowknife,YZF,13015.6,564233
Deline,YWJ,14253.9,578487
Tulita,ZFN,13335.4,591823
Norman Wells,YVQ,13210.1,605033
Inuvik,YEV,13297.7,618330
Holman Island,YHI,12780.4,631111
Coppermine,YCO,14777.6,645888
Cambridge Bay,YCB,14751.3,660640
Yellowknife,YZF,16001.2,676641
Calgary,YYC,14279.4,690920
Nanaimo,YCD,13026.9,703947
Vancouver,YVR,11710.5,715658
Castlegar,YCG,11842.6,727500
Calgary,YYC,12479,739979
Halifax,YHZ,14344.8,754324
Charlo,YCL,15515.9,769840
Halifax,YHZ,15551.1,785391
Ottawa,YOW,15846.3,801237
Iqaluit,YFB,15971.7,817209
Clyde River,YCY,18126.5,835336
Iqaluit,YFB,18183.9,853519
Rankin Inlet,YRT,18769.3,872289
Coral Harbour,YZS,16781.7,889070
Rankin Inlet,YRT,17783.8,906854
Winnipeg,YWG,16782.5,923637
London,YXU,15059.3,938696
St. John's,YYT,10757.7,949454
Deer Lake,YDF,14980.2,964434
Halifax,YHZ,15390.8,979825
Sydney,YQY,15118,994943
Vancouver,YVR,7021.58,1.00196e+06
Dawson Creek,YDQ,11787.1,1.01375e+06
Vancouver,YVR,12860.1,1.02661e+06
Edmonton,YEG,11843,1.03845e+06
Winnipeg,YWG,13589.9,1.05204e+06
Churchill,YYQ,14822.2,1.06687e+06
Eskimo Point,YEK,16115.7,1.08298e+06
Churchill,YYQ,16383.7,1.09937e+06
Winnipeg,YWG,16143.3,1.11551e+06
Ottawa,YOW,15094,1.1306e+06
Fredericton,YFC,15453.1,1.14606e+06
Ottawa,YOW,15918.7,1.16198e+06
Winnipeg,YWG,16295.6,1.17827e+06
Flin Flon,YFO,14803.3,1.19307e+06
Winnipeg,YWG,14945.3,1.20802e+06
Yellowknife,YYZ,15068.7,1.22309e+06
Fort Simpson,YFS,14229.6,1.23732e+06
Yellowknife,YZF,13396.8,1.25071e+06
Ottawa,YOW,15017.8,1.26573e+06
Toronto,YTZ,15737.5,1.28147e+06
Kingston,YGK,15363.7,1.29683e+06
Ciudad del Este,GEO,11329.9,1.30816e+06
Sao Paulo,GRU,3769.23,1.31193e+06
Paris,CDG,4850.62,1.31678e+06
Quebec,YQB,11781.8,1.32856e+06
Montreal,YHU,15869,1.34443e+06
La Grande Riviere,YGL,16057.9,1.36049e+06
Puvirnituq,YPX,16846.6,1.37734e+06
Quujjuaq,YVP,17291.2,1.39463e+06
Schefferville,YKL,17007.7,1.41164e+06
Quebec,YQB,16573.6,1.42821e+06
Gaspe,YGP,15668.4,1.44388e+06
Iles De La Madeleine,YGR,15619.2,1.4595e+06
Quebec,YQB,15906,1.4754e+06
Toronto,YTZ,16011.8,1.49142e+06
Winnipeg,YWG,15787.8,1.5072e+06
Kenora,YQK,14878.5,1.52208e+06
Dryden,YHD,15142.6,1.53723e+06
Thunder Bay,YQT,15310.6,1.55254e+06
Yellowknife,YYZ,15418.6,1.56795e+06
Deline,YWJ,14253.9,1.58221e+06
Tulita,ZFN,13335.4,1.59554e+06
Norman Wells,YVQ,13210.1,1.60875e+06
Inuvik,YEV,13297.7,1.62205e+06
Holman Island,YHI,12780.4,1.63483e+06
Coppermine,YCO,14777.6,1.64961e+06
Cambridge Bay,YCB,14751.3,1.66436e+06
Gjoa Haven,YHK,16036.7,1.6804e+06
Yellowknife,YZF,16980.3,1.69738e+06
Calgary,YYC,14279.4,1.71166e+06
Hamilton,YHM,13874.7,1.72553e+06
Edmonton,YEG,15883.3,1.74142e+06
Hay River,YHY,13309,1.75472e+06
Edmonton,YEG,13941,1.76867e+06
Ottawa,YOW,14194.3,1.78286e+06
Iqaluit,YFB,15971.7,1.79883e+06
Clyde River,YCY,18126.5,1.81696e+06
Pond Inlet,YIO,18852.9,1.83581e+06
Clyde River,YCY,18745.4,1.85456e+06
Iqaluit,YFB,18183.9,1.87274e+06
Ottawa,YOW,17408.5,1.89015e+06
St. John's,YYT,15122.7,1.90527e+06
Stephenville,YJT,15010.3,1.92028e+06
Deer Lake,YDF,15288.2,1.93557e+06
Yellowknife,YYZ,16248.9,1.95182e+06
Calgary,YYC,14279.4,1.9661e+06
Kamloops,YKA,13034.7,1.97913e+06
